titulo;ano;autores_unb_detalhado;autores_unb_ids;todos_autores;revista;citacoes;doi;link
Entrepreneurial Education in Nursing: analysis in Undergraduate Courses of Public Institutions;2024;"da Silva J.L. [59910329800]; Dos Santos Y.H.F. [59908124400]";"59910329800; 59908124400";"da Silva J.L.; Bueno A.d.A.; Evangelista R.A.; Dos Santos Y.H.F.; Menegaz J.D.C.; Bolina A.F.";Revista Enfermagem;2;10.12957/reuerj.2024.83029;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005876505&origin=inward
Forage ecology of Neotropical fish in Brazilian biomes using stable isotopes;2024;Nardoto G.B. [8041526500];8041526500;"Martinelli L.A.; Augusto F.G.; Abdalla Filho A.L.; Nardoto G.B.; Diniz-Reis T.R.; Benedito E.; Marques T.S.";Science of the Total Environment;2;10.1016/j.scitotenv.2024.177682;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209712426&origin=inward
Retraction notice to “Mutagenicity, hepatotoxicity, and neurotoxicity of glyphosate and fipronil commercial formulations in Amazon turtles neonates (Podocnemis expansa)” [STOTEN 898 (2023) 165529] (Science of the Total Environment (2023) 898, (S0048969723041529), (10.1016/j.scitotenv.2023.165529));2024;Hirano L.Q.L. [26641156200];26641156200;"dos Santos Mendonça J.; de Almeida J.C.N.; Vieira L.G.; Hirano L.Q.L.; Santos A.L.Q.; Andrade D.V.; Malafaia G.; de Oliveira Júnior R.J.; Beletti M.E.";Science of the Total Environment;0;10.1016/j.scitotenv.2024.177706;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210285220&origin=inward
Mesoproterozoic depleted spinel peridotites metasomatized by high-K hydrous melt in the Patagonian back-arc;2024;"dos Santos A.A. [59331784900]; Jalowitzki T. [36959337000]";"59331784900; 36959337000";"dos Santos A.A.; Jalowitzki T.; Gervasoni F.; Mazzucchelli M.; Giovanardi T.; Schilling M.E.; Varas-Reus M.I.; Orihashi Y.; Rodrigues R.F.; Carlson R.W.; Lorenzoni G.M.R.; Hirata D.; Bertotto G.W.";Chemical Geology;0;10.1016/j.chemgeo.2024.122412;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85204222293&origin=inward
Measurement of CP Violation Observables in D+ →k-K+π+ Decays;2024;;;"Aaij R.; Abdelmotteleb A.S.W.; Abellan Beteta C.; Abudinén F.; Ackernley T.; Adefisoye A.A.; Adeva B.; Adinolfi M.; Adlarson P.; Agapopoulou C.; Aidala C.A.; Ajaltouni Z.; Akar S.; Akiba K.; Albicocco P.; Albrecht J.; Alessio F.; Alexander M.; Aliouche Z.; Alvarez Cartelle P.; Amalric R.; Amato S.; Amey J.L.; Amhis Y.; An L.; Anderlini L.; Andersson M.; Andreianov A.; Andreola P.; Andreotti M.; Andreou D.; Anelli A.; Ao D.; Archilli F.; Argenton M.; Arguedas Cuendis S.; Artamonov A.; Artuso M.; Aslanides E.; Ataíde Da Silva R.; Atzeni M.; Audurier B.; Bacher D.; Bachiller Perea I.; Bachmann S.; Bachmayer M.; Back J.J.; Baladron Rodriguez P.; Balagura V.; Baldini W.; Balzani L.; Bao H.; Baptista De Souza Leite J.; Barbero Pretel C.; Barbetti M.; Barbosa I.R.; Barlow R.J.; Barnyakov M.; Barsuk S.; Barter W.; Bartolini M.; Bartz J.; Basels J.M.; Bashir S.; Bassi G.; Batsukh B.; Battista P.B.; Bay A.; Beck A.; Becker M.; Bedeschi F.; Bediaga I.B.; Behling N.B.; Belin S.; Bellee V.; Belous K.; Belov I.; Belyaev I.; Benane G.; Bencivenni G.; Ben-Haim E.; Berezhnoy A.; Bernet R.; Bernet Andres S.; Bertolin A.; Betancourt C.; Betti F.; Bex J.; Bezshyiko I.; Bhom J.; Bieker M.S.; Biesuz N.V.; Billoir P.; Biolchini A.; Birch M.; Bishop F.C.R.; Bitadze A.; Bizzeti A.; Blake T.; Blanc F.";Physical Review Letters;2;10.1103/PhysRevLett.133.251801;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212966092&origin=inward
Towards Enabling Inclusive Conversations: Bridging Accessibility Gaps for the Visually Impaired in a Chatbot Web Chat;2024;"de Moraes J.A.D. [59542467000]; Silva G.R.S. [57218917228]; Canedo E.D. [55366708900]";"59542467000; 57218917228; 55366708900";"de Moraes J.A.D.; Silva G.R.S.; Canedo E.D.";ACM International Conference Proceeding Series;0;10.1145/3702038.3702110;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216932129&origin=inward
Human Factors in the Design of Chatbot Interactions: Conversational Design Practices;2024;"Silva G.R.S. [57218917228]; Canedo E.D. [55366708900]";"57218917228; 55366708900";"Silva G.R.S.; Canedo E.D.";ACM International Conference Proceeding Series;1;10.1145/3702038.3702083;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216929885&origin=inward
Masks and mimes in Brazilian theater: a decolonization of artistic practice?;2024;de Oliveira E.J.S. [56896771500];56896771500;de Oliveira E.J.S.;Urdimento;0;10.5965/1414573104532024e0125;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213357990&origin=inward
Stakeholder Interaction in the Redesign and Creation of Digital Public Services: a Service Design Approach;2024;"Figueiredo R. [59164727000]; Gardenghi J. [57190048794]; Venson E. [57189869919]; Judice M. [57912339100]; Costa F. [59542687100]; Pedrosa G. [25031659100]; Judice A. [57910941900]";"59164727000; 57190048794; 57189869919; 57912339100; 59542687100; 25031659100; 57910941900";"Figueiredo R.; Gardenghi J.; Venson E.; Judice M.; Costa F.; Pedrosa G.; Judice A.";ACM International Conference Proceeding Series;0;10.1145/3702038.3702107;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216933566&origin=inward
A Method for Evaluating Usability Mechanisms in Software Systems;2024;"Santos B.A. [57817192100]; Mendes F.F. [55479979100]; Palmeira E.G.Q. [57213310254]; Sales A.B.d. [6506136273]";"57817192100; 55479979100; 57213310254; 6506136273";"Santos B.A.; Mendes F.F.; Palmeira E.G.Q.; Sales A.B.d.";ACM International Conference Proceeding Series;0;10.1145/3702038.3702063;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216928440&origin=inward
Encruza: Yorùbá metaphysics as an epistemology of black-Brazilian dance;2024;E Silva M.S. [59490302100];59490302100;E Silva M.S.;Urdimento;0;10.5965/1414573104532024e121;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213325134&origin=inward
Awakening time: a reflection about the Brazilian Puppeteers Network;2024;Benatti B.D. [59490938100];59490938100;"de Oliveira F.L.; Benatti B.D.; Viana J.V.";Urdimento;0;10.5965/1414573104532024e0201;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213315951&origin=inward
Editorial – Dossier: Black, African and Afrodiasporic Theatricalities;2024;De Oliveira É.J.S. [56896771500];56896771500;"Dess C.; De Oliveira É.J.S.; Lima E.T.; Alexandre M.A.; Onisajé F.J.B.; Laice N.G.D.O.";Urdimento;0;10.5965/1414573104532024e0903;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216317088&origin=inward
Exploring the electronic and mechanical properties of the recently synthesized nitrogen-doped amorphous monolayer carbon;2024;"dos Santos E.J.A. [59034233500]; Pereira M.L. [57193394052]; Ribeiro L.A. [57222717292]";"59034233500; 57193394052; 57222717292";"dos Santos E.J.A.; Pereira M.L.; Tromer R.M.; Galvão D.S.; Ribeiro L.A.";Nanoscale;4;10.1039/d4nr04305g;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105001208900&origin=inward
Electrostatic Orientation of Optically Asymmetric Janus Particles;2024;da Mota A.F. [57222374067];57222374067;"Sadafi M.M.; da Mota A.F.; Mosallaei H.";ACS Omega;3;10.1021/acsomega.4c05669;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210911536&origin=inward
Judicial Virtual Desk Service: Brazil's Approach to Broadening Access to Justice;2024;Suxberger A.H.G. [57195203501];57195203501;"Rocha C.M.C.; Carvalho J.A.; Suxberger A.H.G.";ACM International Conference Proceeding Series;0;10.1145/3680127.3680202;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216078991&origin=inward
Electrochemical Halogenation of Naphthoquinones: A Modular and Sustainable Strategy Towards Trypanocidal Compounds;2024;Gatto C.C. [7003710701];7003710701;"Guimarães E.F.S.; Graça G.A.P.; Diogo E.B.T.; Almeida R.G.; Pereira D.B.; Araujo M.H.; da Silva C.D.G.; Gatto C.C.; Ramos V.F.S.; Menna-Barreto R.F.S.; Jardim G.A.M.; da Silva Júnior E.N.";Chemistry an Asian Journal;5;10.1002/asia.202401050;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210773361&origin=inward
Description of a Puzzling New Long-Legged Pseudopaludicola Miranda-Ribeiro 1926 Species (Anura, Leptodactylidae) from the Araguaia River Floodplain, Brazil;2024;Neto E.P. [57221714178];57221714178;"Silva L.A.; Haga I.A.; Neto E.P.; Dantas S.P.; Varago A.; Garda A.A.; Kohlsdorf T.; De Andrade F.S.";Herpetologica;1;10.1655/Herpetologica-D-24-00003;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105003143346&origin=inward
Neural network controller for hybrid energy management system applied to electric vehicles;2024;"Ribeiro A.N. [59226773600]; Muñoz D.M. [15060464500]";"59226773600; 15060464500";"Ribeiro A.N.; Muñoz D.M.";Journal of Energy Storage;10;10.1016/j.est.2024.114502;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210020710&origin=inward
Making the most of native seeds: Management techniques interact with seed and seedling traits for enhancing direct seeding success;2024;Ferreira M.C. [56729723500];56729723500;"Ferreira M.C.; Vieira D.L.M.";Forest Ecology and Management;4;10.1016/j.foreco.2024.122353;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208092869&origin=inward
Cyclic splittings of pro-p groups;2024;"Berdugo J. [58521195800]; Zalesskii P. [6602096662]";"58521195800; 6602096662";"Berdugo J.; Zalesskii P.";Journal of Algebra;0;10.1016/j.jalgebra.2024.06.037;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85199948615&origin=inward
Structural influence on the properties and toxicity of 2-hydroxyethylammonium-based protic ionic liquids;2024;Oliveira G.d.A.R. [57201391639];57201391639;"de Macedo J.F.; Fernandes E.P.; dos Santos Júnior J.C.; dos Santos J.F.; Oliveira G.d.A.R.; Lião L.M.; Santos A.d.J.; Sussuchi E.M.";Journal of Molecular Structure;4;10.1016/j.molstruc.2024.139199;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85198612554&origin=inward
The Permian to late Triassic magmatic evolution of SW Pangea: Reconciling evidence from Patagonia and the Antarctic Peninsula;2024;"Hauser N. [24723916500]; Reimold W.U. [7006501307]";"24723916500; 7006501307";"Falco J.I.; Suárez R.J.; Hauser N.; Zaffarana C.B.; Scivetti N.; Reimold W.U.; Folguera A.";Journal of South American Earth Sciences;1;10.1016/j.jsames.2024.105201;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208317568&origin=inward
Effect of Co2+ and Mn3+/Mn4+ ratio on high-performance supercapattery;2024;"de Lima Ribeiro C. [58568539500]; Silva A.M.A. [56640379300]";"58568539500; 56640379300";"Barros F.J.S.; da Silva Eduardo S.; Vitorino H.A.; de Lima Ribeiro C.; Silva A.M.A.; Longo E.; Pinatti I.M.; Tanaka A.A.";Journal of Materials Research;4;10.1557/s43578-024-01455-w;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85206825284&origin=inward
Who does the norm affect? Information design from a feminist perspective;2024;"Novais Queiroz B. [59485003000]; Tiradentes Souto V. [36172714700]";"59485003000; 36172714700";"Novais Queiroz B.; Tiradentes Souto V.";Infodesign;0;10.51358/id.v21i3.1173;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212969454&origin=inward
Presentation;2024;Gomes M.C. [56912810900];56912810900;"Arancibia M.C.; Gomes M.C.";Latin American Journal of Discourse Studies;0;;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212924576&origin=inward
Discovery of Non-Covalent Inhibitors for SARS-CoV-2 PLpro: Integrating Virtual Screening, Synthesis, and Experimental Validation;2024;"Mottin M. [25028563500]; Rodrigues B.S.A. [59456545500]; da Silva V.L.S. [59456302000]; Andrade M.A. [24400863900]; Morais G.S. [57195774391]; Motta F.N. [36523369000]; Bastos I.D.M. [6701563929]";"25028563500; 59456545500; 59456302000; 24400863900; 57195774391; 36523369000; 6701563929";"Sousa B.K.P.; Mottin M.; Seanego D.; Jurisch C.D.; Rodrigues B.S.A.; da Silva V.L.S.; Andrade M.A.; Morais G.S.; Boerin D.F.; Froes T.Q.; Motta F.N.; Nonato M.C.; Bastos I.D.M.; Chibale K.; Gessner R.K.; Andrade C.H.";ACS Medicinal Chemistry Letters;1;10.1021/acsmedchemlett.4c00420;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85210978197&origin=inward
Raman Spectra and Excitonic Effects of the Novel Ta2Ni3Te5 Monolayer;2024;Dias A.C. [56816350300];56816350300;"Dias A.C.; Tromer R.M.; Gutiérrez H.R.; Galvão D.S.; Moujaes E.A.";ACS Omega;1;10.1021/acsomega.4c09075;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85211500790&origin=inward
Unity and plurality in occupational therapy in education: understanding the present and projecting futures in the theoretical and methodological field;2024;Farias M.N. [57195379051];57195379051;"Borba P.L.d.O.; Jurdi A.P.S.; de Souza J.R.B.; Farias M.N.; Reis S.C.C.A.G.; Pan L.C.";Brazilian Journal of Occupational Therapy;0;10.1590/2526-8910.ctoED322024011;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105016764786&origin=inward
Young people's sense of agency and responsibility towards promoting mental health in Brazil: a reflexive thematic analysis;2024;"Mendes J.A.d.A. [59662942000]; Murta S.G. [16043052600]; Siston F.R. [58353974400]";"59662942000; 16043052600; 58353974400";"Mendes J.A.d.A.; Murta S.G.; Siston F.R.; Da Cunha R.d.O.; Seabra B.T.R.; Ferreira J.A.; De Souza R.R.A.; Santos V.H.d.L.; Singh I.; Pavarini G.";BMJ Open;2;10.1136/bmjopen-2024-084996;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212034244&origin=inward
