titulo;ano;autores_unb_detalhado;autores_unb_ids;todos_autores;revista;citacoes;doi;link
Deep Multitask Learning-Driven Discovery of New Compounds Targeting Leishmania infantum;2024;"dos Santos Carvalho A.M. [58636646700]; Mendonça de Melo F.d.S. [59478192700]; Charneau S. [6507977702]; Bastos I.M.D. [6701563929]";"58636646700; 59478192700; 6507977702; 6701563929";"Santos E.S.d.A.; Lemos J.M.; dos Santos Carvalho A.M.; Mendonça de Melo F.d.S.; Pereira E.d.S.; Moreira-Filho J.T.; Braga R.d.C.; Muratov E.N.; Grellier P.; Charneau S.; Bastos I.M.D.; Neves B.J.";ACS Omega;1;10.1021/acsomega.4c07994;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212406878&origin=inward
On-line Travel Reviews and Dark Tourism: What can TripAdvisor users teach us about macabre visiting experiences in Brazil?;2024;da Silva D.L.B. [59455285400];59455285400;"Furtado F.G.C.; da Silva D.L.B.; Ruas R.; Perinotto A.R.C.";Journal of Tourism and Development;0;10.34624/rtd.v47i0.38787;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85214800352&origin=inward
Measurement of Λb 0, Λc +, and Λ Decay Parameters Using Λb 0 → Λc +h− Decays;2024;;;"Aaij R.; Abdelmotteleb A.S.W.; Abellan Beteta C.; Abudinén F.; Ackernley T.; Adefisoye A.A.; Adeva B.; Adinolfi M.; Adlarson P.; Agapopoulou C.; Aidala C.A.; Ajaltouni Z.; Akar S.; Akiba K.; Albicocco P.; Albrecht J.; Alessio F.; Alexander M.; Aliouche Z.; Alvarez Cartelle P.; Amalric R.; Amato S.; Amey J.L.; Amhis Y.; An L.; Anderlini L.; Andersson M.; Andreianov A.; Andreola P.; Andreotti M.; Andreou D.; Anelli A.; Ao D.; Archilli F.; Argenton M.; Arguedas Cuendis S.; Artamonov A.; Artuso M.; Aslanides E.; Ataíde Da Silva R.; Atzeni M.; Audurier B.; Bacher D.; Bachiller Perea I.; Bachmann S.; Bachmayer M.; Back J.J.; Baladron Rodriguez P.; Balagura V.; Baldini W.; Balzani L.; Bao H.; de Souza Leite J.B.; Barbero Pretel C.; Barbetti M.; Barbosa I.R.; Barlow R.J.; Barnyakov M.; Barsuk S.; Barter W.; Bartolini M.; Bartz J.; Basels J.M.; Bashir S.; Bassi G.; Batsukh B.; Battista P.B.; Bay A.; Beck A.; Becker M.; Bedeschi F.; Bediaga I.B.; Behling N.A.; Belin S.; Bellee V.; Belous K.; Belov I.; Belyaev I.; Benane G.; Bencivenni G.; Ben-Haim E.; Berezhnoy A.; Bernet R.; Bernet Andres S.; Bertolin A.; Betancourt C.; Betti F.; Bex J.; Bezshyiko I.; Bhom J.; Bieker M.S.; Biesuz N.V.; Billoir P.; Biolchini A.; Birch M.; Bishop F.C.R.; Bitadze A.; Bizzeti A.; Blake T.; Blanc F.";Physical Review Letters;12;10.1103/PhysRevLett.133.261804;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105002287888&origin=inward
Sexual difference and abjection: What is the gender of enslaved black women?;2024;Bento B. [53983590100];53983590100;Bento B.;Contemporary Global Thinking from Latin American Women Writings from the Margins;0;10.1515/9783111264226-003;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212995302&origin=inward
Effect of gelatin nanoparticles’ size and charge on iontophoretic targeted deposition to the hair follicles;2024;"Martins Andrade J.F. [57924876300]; Cunha-Filho M. [57202034300]; Gelfuso G.M. [25623188300]; Gratieri T. [15622863900]";"57924876300; 57202034300; 25623188300; 15622863900";"Martins Andrade J.F.; Weiss A.V.; Cunha-Filho M.; Gelfuso G.M.; Gratieri T.; Schneider M.";International Journal of Pharmaceutics;4;10.1016/j.ijpharm.2024.124906;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85208114090&origin=inward
Predicting Irida-Silicene: A Novel 2D Silicon Allotrope;2024;"Gomes D.d.S. [58443156100]; Ribeiro L.A. [57222717292]; Pereira M.L. [57193394052]";"58443156100; 57222717292; 57193394052";"Gomes D.d.S.; Ribeiro L.A.; Pereira M.L.";ACS Omega;2;10.1021/acsomega.4c08395;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85212948566&origin=inward
Investigating Software Development Teams Members’ Perceptions of Data Privacy in the Use of Large Language Models (LLMs);2024;"Falcão F.D.S. [59531568800]; Canedo E.D. [55366708900]";"59531568800; 55366708900";"Falcão F.D.S.; Canedo E.D.";ACM International Conference Proceeding Series;1;10.1145/3701625.3701675;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216240847&origin=inward
Trust in AI: Perspectives of C-Level Executives in Brazilian Organizations;2024;"Gonçalves C.D. [57202944766]; de Mendonça F.L.L. [55556880500]; de Paoli Menescal E. [59531569700]; Canedo E.D. [55366708900]";"57202944766; 55556880500; 59531569700; 55366708900";"Gonçalves C.D.; de Mendonça F.L.L.; de Paoli Menescal E.; Canedo E.D.";ACM International Conference Proceeding Series;0;10.1145/3701625.3701654;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216194550&origin=inward
Mining Discussions on Software Migration: A study of the Boost mailing list regarding C++ code evolution;2024;"de Carvalho P.V.R. [59531233900]; Lucas W. [57203221105]; Bonifácio R. [23003728900]; Mota A.P.B. [57223126302]";"59531233900; 57203221105; 23003728900; 57223126302";"de Carvalho P.V.R.; Lucas W.; Bonifácio R.; Mota A.P.B.";ACM International Conference Proceeding Series;0;10.1145/3701625.3701665;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216180588&origin=inward
Evaluating Source Code Quality with Large Languagem Models: a comparative study;2024;"da Silva Simões I.R. [59313304200]; Venson E. [57189869919]";"59313304200; 57189869919";"da Silva Simões I.R.; Venson E.";ACM International Conference Proceeding Series;2;10.1145/3701625.3701650;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216212447&origin=inward
Low-Level Data Fusion between Camera and Automotive RADAR for Vehicle and Pedestrian Detection Using nuScenes Database;2024;"Cury H.H. [59531907700]; Teixeira E.L.S. [25628997000]; Silva R.R. [57213824176]";"59531907700; 25628997000; 57213824176";"Cury H.H.; Teixeira E.L.S.; Silva R.R.";SAE Technical Papers;0;10.4271/2024-36-0064;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216203857&origin=inward
Physical and Cognitive Driver Reactions Characterization in Response to Active Safety Systems: A Preliminary Study;2024;"Castro G.M. [57904267400]; Silva R.C. [59531740000]; Miosso C.J. [24725140100]; Oliveira A.B.S. [59532076200]";"57904267400; 59531740000; 24725140100; 59532076200";"Castro G.M.; Silva R.C.; Miosso C.J.; Oliveira A.B.S.";SAE Technical Papers;0;10.4271/2024-36-0136;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216185832&origin=inward
Water and civilizations: environmental history, contemporary challenges, and diplomatic perspectives;2024;Maia H.J.S. [57457781200];57457781200;Maia H.J.S.;Revista Brasileira De Historia Da Ciencia;0;10.53727/rbhc.v17i2.985;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85213350731&origin=inward
Engine Speed Control for the Urban Hybrid-Flex Vehicle;2024;"Júnior J.M.H.B. [59531738000]; De Sousa Oliveira A.B. [59531564700]; Teixeira E.L.S. [25628997000]; Pereira B.L. [55886435300]; Pinheiro L.S. [59532243500]; Dos Santos Ribeiro E. [59532073400]; Dos Santos De Oliveira J. [59531903000]";"59531738000; 59531564700; 25628997000; 55886435300; 59532243500; 59532073400; 59531903000";"Júnior J.M.H.B.; De Sousa Oliveira A.B.; Teixeira E.L.S.; Pereira B.L.; Pinheiro L.S.; Dos Santos Ribeiro E.; Dos Santos De Oliveira J.";SAE Technical Papers;0;10.4271/2024-36-0118;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216202972&origin=inward
Automation of a Quarter-Car Suspension Test Bench;2024;"Siqueira M.A. [59532243300]; Gomes P.C. [59532243400]; Teixeira E.L.S. [25628997000]; Fortaleza E.L.F. [8973687700]; Morais M.V.G. [15749868500]";"59532243300; 59532243400; 25628997000; 8973687700; 15749868500";"Siqueira M.A.; Gomes P.C.; Teixeira E.L.S.; Fortaleza E.L.F.; Morais M.V.G.";SAE Technical Papers;0;10.4271/2024-36-0115;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216201374&origin=inward
Opuntia ficus-indica mucilage: A sustainable bio-additive for cementitious materials;2024;"Souza G.F.A.d. [59418576000]; Pereira M.M.L. [57815154100]; Palma e Silva A.A. [57483819400]; Capuzzo V.M.S. [57209509735]; Machado F. [58149644200]";"59418576000; 57815154100; 57483819400; 57209509735; 58149644200";"Souza G.F.A.d.; Pereira M.M.L.; Palma e Silva A.A.; Capuzzo V.M.S.; Machado F.";Construction and Building Materials;5;10.1016/j.conbuildmat.2024.139254;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85209716448&origin=inward
The spiritual dimension of palliative care in chronic kidney disease: an integrative review;2024;"Lemos K.C. [59907512000]; Souza M.C.D.S. [57197799601]; Borges M.d.S. [7102829113]";"59907512000; 57197799601; 7102829113";"Lemos K.C.; Souza M.C.D.S.; Borges M.d.S.";Revista Enfermagem;1;10.12957/reuerj.2024.82335;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005762870&origin=inward
Exploring the triplet-to-singlet conversion mechanism in persistent luminescence: Insights from a host-guest system;2024;"Bueno F.T. [57205533557]; De Sousa Araújo Cassiano T. [58544668500]; De Oliveira Neto P.H. [23479116000]";"57205533557; 58544668500; 23479116000";"Bueno F.T.; De Sousa Araújo Cassiano T.; De Silva P.; De Oliveira Neto P.H.; De Sousa L.E.";Journal of Materials Chemistry C;1;10.1039/d4tc03774j;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85214583750&origin=inward
Enhancing Vehicle Safety: Investigating the Role of Active Anti-Roll Bars in Vehicle Dynamics;2024;"Gomes P.C. [59532243400]; Teixeira E.L.S. [25628997000]; Morais M.V.G. [15749868500]; Fortaleza E.L.F. [8973687700]";"59532243400; 25628997000; 15749868500; 8973687700";"Gomes P.C.; Teixeira E.L.S.; Morais M.V.G.; Fortaleza E.L.F.; Santos Gioria G.";SAE Technical Papers;0;10.4271/2024-36-0058;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85216256985&origin=inward
Nursing supervision in hospital settings: from the entry into the role to the organizational planning process;2024;"Dos Santos Y.H.F. [59908124400]; Bolina A.F. [56548778700]; Paranaguá T.T.d.B. [55331956200]; de Souza M.A. [59908124500]; Aguiar S.C.d.S. [59907921800]";"59908124400; 56548778700; 55331956200; 59908124500; 59907921800";"Dos Santos Y.H.F.; Bolina A.F.; Bueno A.d.A.; Paranaguá T.T.d.B.; de Souza M.A.; Aguiar S.C.d.S.";Revista Enfermagem;0;10.12957/reuerj.2024.85231;https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105005750627&origin=inward
